#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_fwd_kernel
56,00007ef1 797e3770,"      SHF.R.S32.HI R17, RZ, 0x1f, R16",22,4,8192,,,,,,,,,
57,00007ef1 797e3780,"      LOP3.LUT R0, R7, 0x38, R16, 0xf8, !PT",23,3,8192,,,,,,,,,
58,00007ef1 797e3790,"      SHF.R.U32.HI R7, RZ, 0x3, R7",23,1,8192,,,,,,,,,
59,00007ef1 797e37a0,"      IMAD.WIDE.U32 R2, R27, UR4, R16",25,0,8192,,,,,,,,,
60,00007ef1 797e37b0,"      ULDC.64 UR4, c[0x0][0x258]",25,1,8192,,,,,,,,,
61,00007ef1 797e37c0,"      LOP3.LUT R11, R0, R7, RZ, 0x3c, !PT",26,3,8192,,,,,,,,,
62,00007ef1 797e37d0,"      IMAD.IADD R3, R3, 0x1, R4",24,1,8192,,,,,,,,,
63,00007ef1 797e37e0,"      SHF.R.S32.HI R4, RZ, 0x1f, R28",24,2,8192,,,,,,,,,
64,00007ef1 797e37f0,"      SHF.R.S32.HI R7, RZ, 0x1f, R6",25,4,8192,,,,,,,,,
65,00007ef1 797e3800,"      IMAD.WIDE.U32 R2, R28, UR4, R2",25,4,8192,,,,,,,,,
66,00007ef1 797e3810,"      IMAD R0, R4, UR4, RZ",26,11,8192,,,,,,,,,
67,00007ef1 797e3820,"      UMOV UR4, 0x400",25,1,8192,,,,,,,,,
68,00007ef1 797e3830,"      VIADD R4, R5, 0xffffffe",26,0,8192,,,,,,,,,
69,00007ef1 797e3840,"      IMAD R10, R28, UR5, R0",26,2,8192,,,,,,,,,
70,00007ef1 797e3850,"      LEA.HI R0, R12, R13, RZ, 0x1",26,0,8192,,,,,,,,,
71,00007ef1 797e3860,"      F2I.FTZ.U32.TRUNC.NTZ R5, R4",27,0,8192,,,,,,,,,
72,00007ef1 797e3870,"      S2UR UR5, SR_CgaCtaId",26,1,8192,,,,,,,,,
73,00007ef1 797e3880,"      IMAD.IADD R3, R3, 0x1, R10",26,2,8192,,,,,,,,,
74,00007ef1 797e3890,"      LOP3.LUT R0, R0, 0xfffffffe, RZ, 0xc0, !PT",25,0,8192,,,,,,,,,
75,00007ef1 797e38a0,"      IMAD.IADD R21, R13, 0x1, -R0",26,5,8192,,,,,,,,,
76,00007ef1 797e38b0,"      LOP3.LUT R0, R12, 0xfffffff0, RZ, 0xc0, !PT",25,0,8192,,,,,,,,,
77,00007ef1 797e38c0,"      IABS R13, R28",25,5,8192,,,,,,,,,
78,00007ef1 797e38d0,"      IMAD.IADD R0, R29, 0x1, -R0",25,6,8192,,,,,,,,,
79,00007ef1 797e38e0,"      IMAD.SHL.U32 R4, R8, 0x8, RZ",26,1,8192,,,,,,,,,
80,00007ef1 797e38f0,"      IMAD.WIDE R8, R9, 0x80, R6",26,2,8192,,,,,,,,,
81,00007ef1 797e3900,"      LOP3.LUT R11, R11, 0x7ffffe00, R4, 0xf8, !PT",26,10,8192,,,,,,,,,
82,00007ef1 797e3910,"      IMAD.MOV R4, RZ, RZ, -R5",26,1,8192,,,,,,,,,
83,00007ef1 797e3920,"      IMAD R9, R9, UR8, RZ",26,3,8192,,,,,,,,,
84,00007ef1 797e3930,"      ULEA UR5, UR5, UR4, 0x18",26,3,8192,,,,,,,,,
85,00007ef1 797e3940,"      IMAD.MOV.U32 R10, RZ, RZ, R4",27,1,8192,,,,,,,,,
86,00007ef1 797e3950,"      SHF.R.S32.HI R4, RZ, 0x1f, R0",27,2,8192,,,,,,,,,
87,00007ef1 797e3960,"      IMAD R9, R8, UR9, R9",27,2,8192,,,,,,,,,
88,00007ef1 797e3970,"      USHF.L.U32 UR4, UR8, 0x5, URZ",27,1,8192,,,,,,,,,
89,00007ef1 797e3980,"      IMAD.WIDE.U32 R2, R8, UR8, R2",27,3,8192,,,,,,,,,
90,00007ef1 797e3990,"      LEA.HI R20, R4, R0, RZ, 0x3",27,0,8192,,,,,,,,,
91,00007ef1 797e39a0,"      ULDC.64 UR8, c[0x0][0x238]",26,1,8192,,,,,,,,,
92,00007ef1 797e39b0,"      LEA R242, R11, UR5, 0x1",27,1,8192,,,,,,,,,
93,00007ef1 797e39c0,"      IMAD R8, R10, R22, RZ",28,0,8192,,,,,,,,,
94,00007ef1 797e39d0,"      IMAD.MOV.U32 R4, RZ, RZ, RZ",29,3,8192,,,,,,,,,
95,00007ef1 797e39e0,"@!P3  LDC.64 R10, c[0x0][0x318]",29,2,8192,,,,,,,,,
96,00007ef1 797e39f0,"      IMAD.IADD R3, R3, 0x1, R9",29,4,8192,,,,,,,,,
97,00007ef1 797e3a00,"      IMAD.HI.U32 R8, R5, R8, R4",29,2,8192,,,,,,,,,
98,00007ef1 797e3a10,"      LOP3.LUT R5, R20, 0xfffffff8, RZ, 0xc0, !PT",28,0,8192,,,,,,,,,
99,00007ef1 797e3a20,"      LEA R4, P0, R2, UR6, 0x1",29,4,8192,,,,,,,,,
100,00007ef1 797e3a30,"      IMAD.IADD R129, R0, 0x1, -R5",30,5,8192,,,,,,,,,
101,00007ef1 797e3a40,"      LEA.HI.X R5, R2, UR7, R3, 0x1, P0",29,2,8192,,,,,,,,,
102,00007ef1 797e3a50,"      IMAD.HI.U32 R0, R8, R13, RZ",28,2,8192,,,,,,,,,
103,00007ef1 797e3a60,"      IADD3 R2, P0, R4, UR4, RZ",29,2,8192,,,,,,,,,
104,00007ef1 797e3a70,"@!P3  LDC.64 R8, c[0x0][0x2c8]",29,0,8192,,,,,,,,,
105,00007ef1 797e3a80,"      ULDC.64 UR6, c[0x0][0x230]",29,1,8192,,,,,,,,,
106,00007ef1 797e3a90,"      IMAD.MOV R12, RZ, RZ, -R0",30,0,8192,,,,,,,,,
107,00007ef1 797e3aa0,"      IADD3.X R3, R5, UR15, RZ, P0, !PT",31,1,8192,,,,,,,,,
108,00007ef1 797e3ab0,"@!PT  LDS RZ, [RZ]",31,0,8192,,Load,32,0,,,,,
109,00007ef1 797e3ac0,"@!PT  LDS RZ, [RZ]",31,1,8192,,Load,32,0,,,,,
110,00007ef1 797e3ad0,"@!PT  LDS RZ, [RZ]",31,0,8192,,Load,32,0,,,,,
111,00007ef1 797e3ae0,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R4.64], [R242]",31,2,8192,"Global, Shared","Load, Store",128,0,0,,,,
112,00007ef1 797e3af0,"      IMAD R12, R22, R12, R13",29,3,8192,,,,,,,,,
113,00007ef1 797e3b00,"      IADD3 R13, P1, R6, R18, RZ",29,3,8192,,,,,,,,,
114,00007ef1 797e3b10,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R2.64], [R242+0x800]",28,0,8192,"Global, Shared","Load, Store",128,0,0,,,,
115,00007ef1 797e3b20,"      IADD3 R6, P0, R2, UR4, RZ",29,2,8192,,,,,,,,,
116,00007ef1 797e3b30,"      LEA.HI.X.SX32 R15, R18, R7, 0x1, P1",29,9,8192,,,,,,,,,
117,00007ef1 797e3b40,"      ISETP.GT.U32.AND P1, PT, R22, R12, PT",28,2,8192,,,,,,,,,
118,00007ef1 797e3b50,"      IADD3.X R7, R3, UR15, RZ, P0, !PT",29,6,8192,,,,,,,,,
119,00007ef1 797e3b60,"@!P3  ISETP.NE.U32.AND P2, PT, R10, RZ, PT",28,1,8192,,,,,,,,,
120,00007ef1 797e3b70,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R6.64], [R242+0x1000]",27,5,8192,"Global, Shared","Load, Store",128,0,0,,,,
121,00007ef1 797e3b80,"@!P3  ISETP.NE.AND.EX P2, PT, R11, RZ, PT, P2",27,0,8192,,,,,,,,,
122,00007ef1 797e3b90,"@!P3  SEL R9, R9, RZ, P2",26,18,8192,,,,,,,,,
123,00007ef1 797e3ba0,"@!P1  IMAD.IADD R12, R12, 0x1, -R22",26,1,8192,,,,,,,,,
124,00007ef1 797e3bb0,"@!P1  VIADD R0, R0, 0x1",26,1,8192,,,,,,,,,
125,00007ef1 797e3bc0,"      ISETP.NE.AND P1, PT, R26, RZ, PT",26,1,8192,,,,,,,,,
126,00007ef1 797e3bd0,"      IADD3 R4, P0, R6, UR4, RZ",27,1,8192,,,,,,,,,
127,00007ef1 797e3be0,"      ISETP.GE.U32.AND P4, PT, R12, R22, PT",26,1,8192,,,,,,,,,
128,00007ef1 797e3bf0,"      IMAD R2, R15, UR12, RZ",25,1,8192,,,,,,,,,
129,00007ef1 797e3c00,"      IADD3.X R5, R7, UR15, RZ, P0, !PT",26,2,8192,,,,,,,,,
130,00007ef1 797e3c10,"@!P3  IADD3 R235, R9, R8, -R18",25,3,8192,,,,,,,,,
131,00007ef1 797e3c20,"      IMAD R14, R13, UR13, R2",23,1,8192,,,,,,,,,
132,00007ef1 797e3c30,"      IADD3 R2, P0, R4, UR4, RZ",23,2,8192,,,,,,,,,
133,00007ef1 797e3c40,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R4.64], [R242+0x1800]",23,1,8192,"Global, Shared","Load, Store",128,0,0,,,,
134,00007ef1 797e3c50,"      IADD3.X R3, R5, UR15, RZ, P0, !PT",23,8,8192,,,,,,,,,
135,00007ef1 797e3c60,"@P4   VIADD R0, R0, 0x1",22,5,8192,,,,,,,,,
136,00007ef1 797e3c70,"      IMAD.WIDE.U32 R6, R13, UR12, R16",24,4,8192,,,,,,,,,
137,00007ef1 797e3c80,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R2.64], [R242+0x2000]",24,3,8192,"Global, Shared","Load, Store",128,0,0,,,,
138,00007ef1 797e3c90,"      IMAD.IADD R5, R7, 0x1, R14",25,5,8192,,,,,,,,,
